type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,3C:61:05:0C:11:ED,-62,11,1,6,1,1,1,1,0,0,0,-97,6,8,1,4021343,0,110,0,0,4.586756,384,[110 96 6 0 0 0 0 0 0 0 0 0 9 -2 9 -2 9 -1 9 -1 10 -1 10 -1 9 0 9 0 9 0 9 1 9 1 8 1 8 2 8 1 8 2 8 1 7 1 7 1 7 1 7 2 6 1 7 1 6 1 6 1 6 1 6 0 0 0 5 0 5 0 5 -1 5 -1 5 -1 5 -1 4 -1 4 -2 4 -2 4 -2 4 -3 3 -2 3 -3 3 -3 3 -3 3 -4 2 -4 2 -4 2 -5 2 -5 2 -6 1 -6 1 -6 1 -7 1 -7 1 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-62,11,1,6,1,1,1,1,0,0,0,-97,6,8,1,4021343,0,110,0,0,4.621373,384,[110 96 6 0 0 0 0 0 0 0 0 0 9 -2 9 -2 9 -1 9 -1 10 -1 10 -1 9 0 9 0 9 0 9 1 9 1 8 1 8 2 8 1 8 2 8 1 7 1 7 1 7 1 7 2 6 1 7 1 6 1 6 1 6 1 6 0 0 0 5 0 5 0 5 -1 5 -1 5 -1 5 -1 4 -1 4 -2 4 -2 4 -2 4 -3 3 -2 3 -3 3 -3 3 -3 3 -4 2 -4 2 -4 2 -5 2 -5 2 -6 1 -6 1 -6 1 -7 1 -7 1 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-63,11,1,7,1,1,1,1,0,0,0,-97,6,8,1,4098358,0,110,0,0,4.659360,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -11 -1 -11 -1 -11 0 -11 1 -11 1 -11 1 -11 2 -11 2 -10 2 -10 3 -10 3 -10 3 -10 3 -9 2 -9 3 -8 3 -9 3 -8 2 -8 2 -8 2 -8 2 -8 2 -7 1 -8 1 -7 1 -7 0 0 1 -7 0 -7 0 -7 0 -6 0 -7 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -2 -5 -2 -5 -2 -5 -3 -4 -3 -5 -3 -4 -3 -4 -3 -4 -4 -4 -4 -3 -4 -3 -5 -3 -5 -3 -6 -2 -6 -2 -6 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-63,11,1,7,1,1,1,1,0,0,0,-97,6,8,1,4098358,0,110,0,0,4.699313,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -11 -1 -11 -1 -11 0 -11 1 -11 1 -11 1 -11 2 -11 2 -10 2 -10 3 -10 3 -10 3 -10 3 -9 2 -9 3 -8 3 -9 3 -8 2 -8 2 -8 2 -8 2 -8 2 -7 1 -8 1 -7 1 -7 0 0 1 -7 0 -7 0 -7 0 -6 0 -7 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -2 -5 -2 -5 -2 -5 -3 -4 -3 -5 -3 -4 -3 -4 -3 -4 -4 -4 -4 -3 -4 -3 -5 -3 -5 -3 -6 -2 -6 -2 -6 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-63,11,1,7,1,1,1,1,0,0,0,-97,6,8,1,4098358,0,110,0,0,4.740355,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -11 -1 -11 -1 -11 0 -11 1 -11 1 -11 1 -11 2 -11 2 -10 2 -10 3 -10 3 -10 3 -10 3 -9 2 -9 3 -8 3 -9 3 -8 2 -8 2 -8 2 -8 2 -8 2 -7 1 -8 1 -7 1 -7 0 0 1 -7 0 -7 0 -7 0 -6 0 -7 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -2 -5 -2 -5 -2 -5 -3 -4 -3 -5 -3 -4 -3 -4 -3 -4 -4 -4 -4 -3 -4 -3 -5 -3 -5 -3 -6 -2 -6 -2 -6 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-63,11,1,7,1,1,1,1,0,0,0,-97,6,8,1,4098358,0,110,0,0,4.795883,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -11 -1 -11 -1 -11 0 -11 1 -11 1 -11 1 -11 2 -11 2 -10 2 -10 3 -10 3 -10 3 -10 3 -9 2 -9 3 -8 3 -9 3 -8 2 -8 2 -8 2 -8 2 -8 2 -7 1 -8 1 -7 1 -7 0 0 1 -7 0 -7 0 -7 0 -6 0 -7 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -2 -5 -2 -5 -2 -5 -3 -4 -3 -5 -3 -4 -3 -4 -3 -4 -4 -4 -4 -3 -4 -3 -5 -3 -5 -3 -6 -2 -6 -2 -6 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-63,11,1,7,1,1,1,1,0,0,0,-97,6,8,1,4098358,0,110,0,0,4.838949,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -11 -1 -11 -1 -11 0 -11 1 -11 1 -11 1 -11 2 -11 2 -10 2 -10 3 -10 3 -10 3 -10 3 -9 2 -9 3 -8 3 -9 3 -8 2 -8 2 -8 2 -8 2 -8 2 -7 1 -8 1 -7 1 -7 0 0 1 -7 0 -7 0 -7 0 -6 0 -7 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -2 -5 -2 -5 -2 -5 -3 -4 -3 -5 -3 -4 -3 -4 -3 -4 -4 -4 -4 -3 -4 -3 -5 -3 -5 -3 -6 -2 -6 -2 -6 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-63,11,1,7,1,1,1,1,0,0,0,-97,6,8,1,4098358,0,110,0,0,4.878595,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -11 -1 -11 -1 -11 0 -11 1 -11 1 -11 1 -11 2 -11 2 -10 2 -10 3 -10 3 -10 3 -10 3 -9 2 -9 3 -8 3 -9 3 -8 2 -8 2 -8 2 -8 2 -8 2 -7 1 -8 1 -7 1 -7 0 0 1 -7 0 -7 0 -7 0 -6 0 -7 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -2 -5 -2 -5 -2 -5 -3 -4 -3 -5 -3 -4 -3 -4 -3 -4 -4 -4 -4 -3 -4 -3 -5 -3 -5 -3 -6 -2 -6 -2 -6 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-62,11,1,6,1,1,1,1,0,0,0,-97,6,8,1,4100134,0,110,0,0,4.946744,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -12 -1 -12 -1 -13 0 -12 1 -12 2 -12 3 -12 3 -12 3 -12 3 -11 3 -12 4 -11 3 -11 3 -10 3 -10 4 -10 3 -10 3 -9 3 -9 3 -9 2 -9 2 -9 2 -8 2 -8 1 -8 1 -8 0 0 1 -8 1 -7 0 -8 1 -7 0 -7 0 -7 -1 -7 -1 -7 -1 -6 -1 -6 -1 -6 -2 -6 -2 -6 -3 -5 -3 -5 -3 -5 -4 -5 -4 -5 -4 -4 -4 -4 -5 -3 -5 -3 -6 -3 -6 -3 -6 -2 -6 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-62,11,1,6,1,1,1,1,0,0,0,-97,6,8,1,4100134,0,110,0,0,4.995284,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -12 -1 -12 -1 -13 0 -12 1 -12 2 -12 3 -12 3 -12 3 -12 3 -11 3 -12 4 -11 3 -11 3 -10 3 -10 4 -10 3 -10 3 -9 3 -9 3 -9 2 -9 2 -9 2 -8 2 -8 1 -8 1 -8 0 0 1 -8 1 -7 0 -8 1 -7 0 -7 0 -7 -1 -7 -1 -7 -1 -6 -1 -6 -1 -6 -2 -6 -2 -6 -3 -5 -3 -5 -3 -5 -4 -5 -4 -5 -4 -4 -4 -4 -5 -3 -5 -3 -6 -3 -6 -3 -6 -2 -6 -2 0 0 0 0 0 0 0 0 0 0 ]
