type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,08:3A:F2:46:92:18,-56,11,0,0,0,0,0,0,0,0,0,-96,0,8,1,36863611,0,37,0,0,37.369976,128,[37 80 2 0 0 0 0 0 0 0 0 0 23 7 23 8 24 8 25 8 24 9 24 10 24 10 24 10 24 10 24 10 26 11 24 10 25 11 24 11 23 11 25 11 23 11 23 11 22 11 22 11 21 11 21 10 20 10 21 10 21 9 20 10 0 0 19 8 20 7 20 7 19 6 18 6 19 6 18 5 17 6 17 4 16 5 17 3 14 4 15 3 13 4 14 2 13 2 13 3 14 -1 10 1 7 1 10 -5 6 -3 9 2 4 -1 5 -3 7 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,08:3A:F2:46:92:18,-56,11,0,0,0,0,0,0,0,0,0,-96,0,8,1,36863843,0,37,0,0,37.406955,128,[37 80 2 0 0 0 0 0 0 0 0 0 7 23 7 23 7 24 8 25 7 25 6 25 6 25 5 25 5 25 5 26 5 27 5 26 5 27 4 26 3 25 5 27 4 25 3 25 3 26 3 25 3 24 3 23 2 22 3 23 3 22 3 22 0 0 3 21 4 20 5 20 5 20 5 20 4 19 5 18 5 18 5 17 4 17 4 18 4 16 4 14 5 13 4 13 5 13 5 10 6 9 3 9 2 8 3 3 3 5 -1 5 6 7 6 1 2 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,08:3A:F2:46:92:18,-57,11,0,0,0,0,0,0,0,0,0,-96,0,8,1,36866017,0,84,0,0,37.443400,128,[84 -64 4 0 0 0 0 0 0 0 0 0 9 -22 10 -23 10 -22 10 -24 11 -23 12 -24 12 -23 12 -23 12 -22 12 -22 12 -24 12 -24 13 -24 12 -23 13 -22 12 -23 13 -23 12 -21 13 -22 13 -21 13 -20 12 -20 11 -19 11 -21 10 -21 11 -20 0 0 9 -19 9 -19 8 -20 7 -18 7 -18 7 -18 7 -18 7 -17 6 -16 6 -16 5 -17 5 -15 4 -14 4 -14 4 -13 3 -14 3 -12 2 -11 3 -9 1 -9 1 -9 0 -8 0 -6 -1 -6 -2 -5 -2 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,08:3A:F2:46:92:18,-66,11,1,6,1,1,1,0,0,0,0,-96,0,8,1,36867370,0,84,0,0,37.484033,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -3 10 -3 9 -3 9 -3 9 -3 9 -4 10 -4 10 -4 9 -4 9 -4 9 -5 10 -5 10 -5 10 -5 10 -5 9 -6 10 -5 10 -5 9 -5 10 -5 9 -5 8 -4 8 -4 8 -4 8 -5 8 -4 8 0 0 -4 8 -3 8 -3 8 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 6 -2 7 -2 6 -2 6 -2 5 -2 5 -2 5 -1 4 -1 4 -1 3 -1 3 -1 3 -1 2 -1 2 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,08:3A:F2:46:92:18,-67,11,1,6,1,1,1,0,0,0,0,-96,0,8,1,36868228,0,84,0,0,37.520312,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -10 3 -10 2 -10 2 -11 2 -11 2 -11 2 -10 1 -10 2 -10 1 -11 1 -11 2 -11 2 -11 2 -11 2 -12 1 -11 1 -11 1 -10 1 -11 0 -11 0 -10 1 -11 1 -10 1 -10 1 -10 2 -9 1 0 0 -9 2 -9 2 -9 1 -8 1 -8 2 -9 2 -8 2 -8 2 -8 2 -7 2 -7 2 -6 2 -6 2 -6 1 -5 1 -5 1 -4 1 -4 1 -5 1 -3 1 -3 2 -3 1 -2 1 -2 1 -1 1 0 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,08:3A:F2:46:92:18,-58,11,0,0,0,0,0,0,0,0,0,-96,0,8,1,36871772,0,84,0,0,37.558246,128,[84 -64 4 0 0 0 0 0 0 0 0 0 13 -20 13 -20 14 -20 14 -22 15 -21 16 -21 16 -20 16 -19 16 -19 16 -19 16 -22 16 -21 17 -21 16 -20 17 -19 16 -20 17 -20 16 -18 17 -19 17 -18 16 -17 16 -17 15 -16 15 -18 14 -18 15 -17 0 0 13 -16 12 -17 12 -17 10 -16 11 -16 11 -16 10 -15 10 -14 9 -13 9 -13 8 -14 8 -12 6 -12 7 -11 6 -10 5 -10 4 -10 4 -8 4 -7 2 -6 1 -6 0 -5 0 -4 -1 -4 -3 -2 -3 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,08:3A:F2:46:92:18,-68,11,1,6,1,1,1,0,0,0,0,-96,0,8,1,36873135,0,84,0,0,37.600955,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -4 9 -5 8 -5 8 -6 8 -6 8 -6 9 -6 9 -6 9 -6 9 -6 8 -6 9 -6 9 -6 9 -6 8 -7 8 -7 9 -7 8 -7 8 -7 8 -6 7 -7 7 -6 8 -6 7 -6 7 -6 7 -6 7 0 0 -6 7 -5 7 -5 7 -5 6 -5 6 -5 6 -5 6 -5 5 -4 6 -4 5 -3 5 -4 5 -3 5 -3 4 -2 4 -2 4 -2 3 -2 3 -2 2 -1 2 -1 2 -1 2 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,08:3A:F2:46:92:18,-68,11,1,6,1,1,1,0,0,0,0,-96,0,8,1,36875100,0,84,0,0,37.636233,384,[84 -64 4 0 0 0 0 0 0 0 0 0 6 -6 7 -6 7 -6 7 -7 8 -6 8 -7 8 -6 8 -6 8 -6 8 -6 8 -7 8 -7 9 -6 8 -7 8 -6 9 -6 8 -6 8 -6 8 -6 8 -6 8 -5 8 -5 8 -5 8 -5 8 -6 8 -6 0 0 7 -5 7 -5 6 -5 6 -5 6 -5 6 -5 5 -5 6 -5 5 -5 4 -4 4 -4 4 -4 4 -4 3 -3 3 -3 2 -4 2 -3 1 -3 0 -3 1 -2 0 -3 -1 -2 -1 -2 -1 -2 -2 -2 -2 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,08:3A:F2:46:92:18,-57,11,0,0,0,0,0,0,0,0,0,-96,0,8,1,36981956,0,84,0,0,37.671484,128,[84 -64 4 0 0 0 0 0 0 0 0 0 23 -8 24 -8 24 -8 25 -9 25 -8 27 -7 27 -7 27 -6 27 -6 28 -6 29 -7 28 -7 29 -6 28 -6 28 -4 29 -4 28 -3 26 -3 27 -2 26 -1 25 -1 24 -1 23 -2 23 -3 23 -4 22 -3 0 0 20 -3 20 -4 19 -5 17 -5 17 -5 17 -6 16 -5 15 -5 14 -6 14 -5 14 -7 13 -6 12 -7 11 -6 11 -6 10 -7 9 -7 8 -6 8 -5 6 -5 5 -5 4 -5 3 -5 2 -5 1 -4 0 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,08:3A:F2:46:92:18,-66,11,1,7,1,1,1,0,0,0,1,-96,0,8,1,37013037,0,84,0,0,37.716512,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -11 4 -11 3 -12 3 -12 3 -12 3 -13 2 -12 2 -12 2 -12 1 -12 1 -13 2 -13 1 -13 1 -12 0 -12 0 -12 0 -12 0 -11 0 -11 -1 -11 0 -10 0 -11 0 -10 0 -10 0 -10 0 -9 0 0 0 -9 0 -9 1 -9 1 -8 1 -8 1 -8 1 -8 1 -7 2 -7 2 -7 1 -7 2 -6 2 -6 2 -6 2 -6 2 -5 2 -5 2 -5 2 -5 2 -4 3 -4 2 -3 2 -2 2 -2 3 -2 3 -1 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,08:3A:F2:46:92:18,-64,11,1,7,1,1,1,0,0,0,1,-96,0,8,1,37048763,0,84,0,0,37.752327,384,[84 -64 4 0 0 0 0 0 0 0 0 0 16 8 15 8 16 8 15 9 16 8 15 9 15 10 15 10 15 10 15 10 15 11 15 10 15 11 14 10 13 11 14 11 13 10 13 10 12 10 13 10 12 10 13 9 12 10 12 9 12 9 12 9 0 0 12 8 12 7 12 7 12 7 12 7 12 6 12 6 13 6 12 6 12 5 12 5 12 5 11 5 12 5 12 5 11 4 11 4 10 4 10 3 9 3 10 2 9 2 9 2 8 3 8 2 8 1 0 0 0 0 0 0 0 0 0 0 ]
